City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
140,antalaha,-14.9003,50.2788,22.9,90,74,1.37,MG,1684884367
141,longyearbyen,78.2186,15.6401,1.91,80,75,12.35,SJ,1684884368
142,pollock pines,38.7613,-120.5866,22.24,45,0,3.09,US,1684884369
143,illizi,26.4833,8.4667,25.89,14,100,2.33,DZ,1684884369
144,odienne,9.51,-7.5692,24.31,83,100,1.5,CI,1684884370
145,sinabang,2.4803,96.3801,26.55,85,98,1.02,ID,1684884371
146,whitehorse,60.7161,-135.0538,18.9,23,75,1.54,CA,1684884371
147,puerto baquerizo moreno,-0.9,-89.6,26.55,83,40,3.6,EC,1684884372
148,bredasdorp,-34.5322,20.0403,11.9,91,88,1.54,ZA,1684884373
149,ashkasham,36.6833,71.5333,5.2,84,99,1.69,AF,1684884373
150,inari,68.906,27.0288,12.11,85,99,2.66,FI,1684884374
151,vidyayevo,69.3191,32.8049,8.16,89,57,3.11,RU,1684884375
152,mount pearl,47.5166,-52.7813,2.47,93,100,6.69,CA,1684884105
153,portland,45.5234,-122.6762,21.11,48,75,2.57,US,1684884160
154,zyryanovsk,49.7386,84.2719,7.34,77,0,0.89,KZ,1684884377
155,lepsy,46.235,78.9456,14.22,49,12,3.66,KZ,1684884377
156,piti village,13.4626,144.6933,27.39,90,100,13.89,GU,1684884378
157,nagqu,31.5,92.0,1.23,54,100,1.01,CN,1684884378
158,boende,-0.2167,20.8667,22.16,97,67,0.8,CD,1684884379
159,tayga,56.06,85.6197,9.51,71,90,3.05,RU,1684884380
160,hithadhoo,-0.6,73.0833,27.91,73,11,2.63,MV,1684884381
161,troitsko-pechorsk,62.7084,56.1964,11.56,77,87,1.65,RU,1684884382
162,kalmunai,7.4167,81.8167,25.76,85,5,4.16,LK,1684884382
163,avarua,-21.2078,-159.775,26.03,65,20,1.54,CK,1684884383
164,aldinga beach,-35.2793,138.4604,15.66,77,20,5.17,AU,1684884384
165,cururupu,-1.8283,-44.8683,24.56,94,82,1.61,BR,1684884385
166,petawawa,45.9001,-77.3328,23.77,31,20,3.09,CA,1684884386
167,dalbandin,28.8947,64.4101,27.74,28,60,3.48,PK,1684884386
168,goondiwindi,-28.55,150.3167,15.02,37,0,1.08,AU,1684884387
169,kuta,-8.7233,115.1723,23.97,94,20,1.54,ID,1684884088
170,olinda,-8.0089,-34.8553,26.85,78,75,3.6,BR,1684884381
171,chibougamau,49.9168,-74.3659,9.79,100,100,3.6,CA,1684884389
172,reggane,26.7158,0.1714,26.04,9,19,4.78,DZ,1684884389
173,zeya,53.75,127.2667,11.89,80,90,1.12,RU,1684884390
174,crespo,-32.0287,-60.3066,19.89,94,98,3.85,AR,1684884390
175,kohlu,29.8962,69.252,24.41,43,47,0.41,PK,1684884255
176,midvagur,62.0511,-7.1939,8.46,71,100,10.8,FO,1684884392
177,port mathurin,-19.6833,63.4167,25.0,60,32,5.55,MU,1684884392
178,shetpe,44.1667,52.1167,22.98,50,1,6.02,KZ,1684884393
179,cannonvale,-20.2833,148.7,20.66,72,71,7.5,AU,1684884393
180,sao paulo de olivenca,-3.3783,-68.8725,24.59,96,53,1.13,BR,1684884394
181,padre bernardo,-15.35,-48.5,20.13,53,100,2.25,BR,1684884395
182,korla,41.7597,86.1469,17.24,32,63,3.69,CN,1684884395
183,chepstow,51.6409,-2.6768,13.53,89,93,2.08,GB,1684884396
184,vorgashor,67.5833,63.95,6.23,74,61,2.72,RU,1684884397
185,greenville,35.6127,-77.3663,22.09,60,0,3.09,US,1684884115
186,kodiak,57.79,-152.4072,6.73,93,100,8.23,US,1684884398
187,palikir - national government center,6.9248,158.1611,31.41,70,40,2.06,FM,1684884398
188,namdrik,5.5994,168.1028,28.32,76,79,5.49,MH,1684884399
189,itaueira,-7.6033,-43.0256,27.26,56,100,1.62,BR,1684884400
190,flying fish cove,-10.4217,105.6791,24.82,88,6,3.6,CX,1684884400
191,coquimbo,-29.9533,-71.3436,14.85,100,75,4.12,CL,1684884401
192,khandyga,62.6667,135.6,7.48,47,6,0.97,RU,1684884402
193,makoua,0.0069,15.6333,25.18,82,90,0.71,CG,1684884402
194,labrador city,52.9463,-66.9114,10.95,54,100,11.32,CA,1684884108
195,muborak,39.2553,65.1528,25.06,24,1,4.01,UZ,1684884403
196,lompoc,34.6391,-120.4579,17.08,77,100,3.6,US,1684884404
197,warrnambool,-38.3833,142.4833,12.65,71,91,7.46,AU,1684884405
198,grand falls-windsor,48.9332,-55.6649,7.5,55,1,0.89,CA,1684884405
199,kristiansund,63.1115,7.732,7.36,87,75,1.03,NO,1684884406
200,sikeston,36.8767,-89.5879,28.94,47,0,3.6,US,1684884146
201,umuahia,5.5263,7.4896,24.07,97,100,1.9,NG,1684884407
202,arroio grande,-32.2375,-53.0869,18.17,93,84,2.94,BR,1684884408
203,salalah,17.0151,54.0924,30.05,79,40,2.57,OM,1684884125
204,lihue,21.9789,-159.3672,27.58,75,75,5.66,US,1684884246
205,utete,-7.986,38.758,21.68,97,85,0.73,TZ,1684884411
206,brezina,33.0989,1.2608,19.67,34,25,5.86,DZ,1684884412
207,barrouallie,13.2333,-61.2667,25.79,89,75,4.63,VC,1684884413
208,malango,-2.9627,119.9001,20.3,97,97,0.51,ID,1684884413
209,buala,-8.145,159.5921,28.74,75,68,2.16,SB,1684884414
210,ponta delgada,37.7333,-25.6667,17.4,72,20,6.69,PT,1684884337
211,vila velha,-20.3297,-40.2925,21.97,94,100,3.6,BR,1684884415
212,utrik,11.2278,169.8474,27.93,77,71,7.16,MH,1684884416
213,stanley,54.868,-1.6985,10.95,81,99,3.75,GB,1684884416
214,vila franca do campo,37.7167,-25.4333,17.23,82,62,3.88,PT,1684884417
215,namakkal,11.2213,78.1652,26.97,75,1,2.22,IN,1684884418
216,aykhal,66.0,111.5,-0.19,84,84,5.67,RU,1684884418
217,port macquarie,-31.4333,152.9167,14.94,55,15,1.79,AU,1684884062
218,cafayate,-26.073,-65.9761,19.22,45,0,1.58,AR,1684884420
219,botro,7.8525,-5.3106,27.71,78,77,2.05,CI,1684884420
220,mogadishu,2.0371,45.3438,26.83,84,86,5.73,SO,1684884421
221,melekeok village,7.4957,134.6367,28.31,78,75,6.69,PW,1684884421
222,bintulu,3.1667,113.0333,24.23,94,20,2.57,MY,1684884422
223,shubarshi,48.5872,57.1869,16.17,41,1,3.84,KZ,1684884423
224,port alfred,-33.5906,26.891,16.69,53,8,2.04,ZA,1684884424
225,kone,-21.0595,164.8658,23.82,50,8,3.42,NC,1684884424
226,uige,-7.6087,15.0613,20.63,92,21,0.53,AO,1684884358
227,concepcion,-36.827,-73.0498,11.89,100,40,6.17,CL,1684884425
228,paita,-5.0892,-81.1144,24.85,76,98,6.86,PE,1684884426
229,long beach,33.767,-118.1892,20.03,81,100,5.14,US,1684884321
230,weno,7.4515,151.8468,30.97,79,75,3.6,FM,1684884427
231,coahuayana de hidalgo,18.7,-103.6583,31.27,54,60,3.1,MX,1684884311
232,pilar,-9.5972,-35.9567,25.96,94,14,1.54,BR,1684884428
233,kijang,35.2442,129.2139,16.85,61,60,1.59,KR,1684884429
234,rubtsovsk,51.5,81.25,8.94,56,0,3.57,RU,1684884430
235,timbuktu,16.7735,-3.0074,33.52,16,88,4.08,ML,1684884408
236,pitimbu,-7.4706,-34.8086,25.33,86,23,5.63,BR,1684884431
237,toamasina,-18.1667,49.3833,22.0,94,40,2.06,MG,1684884432
238,kailua-kona,19.6406,-155.9956,29.04,77,75,4.12,US,1684884433
